scrape_date,Price_USD_mean,Price_USD_median,Price_USD_std,Price_USD_min,Price_USD_max,Price_USD_count,Mileage_Miles_mean,Mileage_Miles_median,Days_Listed_mean,Days_Listed_median,Days_Listed_max,Damage_Score_mean,Is_Registered_sum,Manufacturer_nunique,Vehicle_ID_nunique
2023-05-27,603.5530839231546,400.0,977.825511652232,0.0,14300.0,989,160607.93393234673,156739.0,5.21840242669363,1.0,179,529.8281092012134,187,49,989
2023-05-28,603.5530839231546,400.0,977.825511652232,0.0,14300.0,989,160607.93393234673,156739.0,5.21840242669363,1.0,179,529.8281092012134,187,49,989
2023-05-29,2.18978102189781,0.0,44.393726130029094,0.0,900.0,411,163834.13324873097,160066.0,10.472019464720194,7.0,179,564.2335766423357,99,34,411
2023-05-31,324.5272496831432,0.0,525.2635918701485,0.0,2800.0,789,158534.5782726046,154213.0,8.96958174904943,5.0,169,606.5906210392902,150,57,789
2023-06-01,473.02364864864865,0.0,1394.6085379270721,0.0,13300.0,592,161982.10545454547,156390.0,9.741554054054054,5.0,169,625.168918918919,79,53,592
2023-06-02,275.74460431654677,300.0,255.66386904448993,0.0,3000.0,556,169368.27954971857,160147.0,9.68525179856115,6.0,169,547.1223021582733,90,38,556
2023-06-03,294.7086330935252,300.0,271.8552569256814,0.0,3100.0,556,169368.27954971857,160147.0,9.68525179856115,6.0,169,547.1223021582733,90,38,556
2023-06-04,318.1847826086956,300.0,313.4195194854783,0.0,3100.0,552,169413.05671077504,160147.0,9.722826086956522,6.0,169,548.1884057971015,90,38,552
2023-06-05,379.2653429602888,350.0,402.0755464055638,0.0,3500.0,554,169504.7702448211,160296.0,9.666064981949459,6.0,169,548.5559566787003,90,38,554
2023-06-06,3.4111310592459607,0.0,58.81807782267605,0.0,1200.0,557,159833.74304267162,156943.0,12.899461400359067,5.0,169,564.0933572710951,89,43,557
2023-06-07,249.1875,0.0,470.3099554139288,0.0,2950.0,800,163810.22193548386,160533.0,11.0425,5.0,169,560.125,119,47,800
2023-06-08,642.8989726027397,300.0,1529.6824102490546,0.0,17600.0,584,159012.96214788733,157800.0,10.690068493150685,5.0,169,567.4657534246576,71,42,584
2023-06-09,261.54723707664886,150.0,845.6634177190385,0.0,16300.0,561,160006.86538461538,157296.75,10.90017825311943,5.0,179,505.70409982174687,85,41,561
2023-06-10,263.106135986733,100.0,827.1141794171176,0.0,16300.0,603,157255.05972696247,154960.0,11.824212271973465,5.0,179,526.3681592039801,86,42,603
2023-06-11,292.6716666666667,125.0,851.1629188280405,0.0,16300.0,600,157334.16981132075,155410.0,11.83,5.0,179,527.3333333333334,86,42,600
2023-06-12,0.0,0.0,0.0,0.0,0.0,301,155638.3350515464,147474.0,16.166112956810633,7.0,179,562.4584717607974,49,29,301
2023-06-13,449.0757855822551,0.0,554.1669388350059,0.0,2400.0,541,158216.40229885056,150743.5,14.632162661737523,6.0,169,560.2587800369686,80,38,541
2023-06-14,367.64305177111714,0.0,588.5144690887615,0.0,3550.0,734,158485.38764044945,150248.5,12.482288828337875,5.0,169,566.6212534059946,95,45,734
2023-06-15,497.7876447876448,200.0,1288.493714198807,0.0,17300.0,518,154529.0438247012,148281.0,13.59073359073359,5.0,169,585.7142857142857,60,42,518
2023-06-16,251.19686800894854,200.0,308.22795520012494,0.0,2800.0,447,162188.46403712296,151173.0,14.05145413870246,5.0,169,531.096196868009,64,39,447
2023-06-17,262.5224215246637,200.0,321.0330840726221,0.0,3525.0,446,162027.47209302324,151032.5,14.07847533632287,5.0,169,532.286995515695,64,39,446
2023-06-18,306.53932584269666,200.0,384.89784698886234,0.0,4000.0,445,162047.2191142191,150892.0,14.087640449438203,5.0,169,532.5842696629213,64,39,445
2023-06-19,0.0,0.0,0.0,0.0,0.0,247,138205.7114537445,131068.0,24.574898785425102,14.0,169,533.1983805668016,43,37,247
2023-06-20,0.0,0.0,0.0,0.0,0.0,434,148058.1479217604,139488.0,21.428571428571427,12.0,169,592.6267281105991,55,46,434
2023-06-21,314.9367088607595,0.0,552.8629792355248,0.0,3300.0,790,159326.02236842105,147576.5,14.10759493670886,7.0,169,545.5696202531645,118,49,790
2023-06-22,331.36842105263156,0.0,1038.57888714017,0.0,14300.0,703,159440.86583577713,148176.5,12.60597439544808,5.0,158,557.8947368421053,99,46,703
2023-06-23,386.10316139767053,300.0,701.0834729236286,0.0,13150.0,601,161259.40275387262,148997.0,12.660565723793678,5.0,158,515.4742096505823,99,43,601
2023-06-24,415.72757475083057,312.5,832.2792805717214,0.0,15250.0,602,161279.9914089347,149168.5,12.646179401993356,5.0,158,515.6146179401993,99,43,602
2023-06-25,444.13289036544853,400.0,867.4782292086833,0.0,15250.0,602,161279.9914089347,149168.5,12.646179401993356,5.0,158,515.6146179401993,99,43,602
2023-06-26,0.0,0.0,0.0,0.0,0.0,244,150452.43697478992,139229.0,19.729508196721312,7.0,103,561.0655737704918,29,24,244
2023-06-27,0.0,0.0,0.0,0.0,0.0,594,164802.5265410959,151814.0,14.23063973063973,6.0,169,535.1851851851852,81,35,594
2023-06-28,439.6258503401361,0.0,841.992614257278,0.0,9300.0,882,161964.95576251455,150727.0,13.31859410430839,6.0,169,542.5170068027211,117,43,882
2023-06-29,390.5826235093697,200.0,814.1142643371393,0.0,9300.0,587,160447.8148148148,155315.0,11.09710391822828,5.0,169,548.7223168654174,83,37,587
2023-06-30,293.0501730103806,300.0,326.39466266244006,0.0,3500.0,578,165920.50711743772,158677.5,12.538062283737025,5.0,169,516.4359861591696,89,36,578
2023-07-01,332.16782006920414,300.0,416.67857417834085,0.0,5025.0,578,165920.50711743772,158677.5,12.538062283737025,5.0,169,516.4359861591696,89,36,578
2023-07-02,419.2006920415225,387.5,558.2692037422511,0.0,5125.0,578,165606.3544973545,158381.0,12.538062283737025,5.0,169,516.4359861591696,89,36,578
2023-07-03,0.0,0.0,0.0,0.0,0.0,282,152156.93406593407,148563.0,21.76241134751773,13.5,169,534.0425531914893,27,43,282
2023-07-04,268.0119581464873,0.0,476.2871874055913,0.0,2100.0,669,155934.8125,149161.5,15.221225710014947,7.0,236,545.7399103139013,106,53,669
2023-07-05,410.826139088729,50.0,766.8923427015815,0.0,9300.0,834,156760.73992673992,150875.0,13.452038369304557,7.0,236,550.7194244604317,137,52,834
2023-07-06,530.3868501529053,400.0,932.7592497308818,0.0,10000.0,654,156741.5280373832,153374.5,12.232415902140673,5.0,169,548.4709480122324,106,49,654
2023-07-07,317.42820181112546,200.0,681.5835961421411,0.0,10000.0,773,157780.23884514437,153904.0,13.125485122897802,6.0,169,509.57309184993534,149,46,773
2023-07-08,334.92686002522066,150.0,709.2288757369814,0.0,10000.0,793,158523.59026888604,155255.0,13.336696090794451,7.0,169,521.437578814628,148,47,793
2023-07-09,369.5215189873418,150.0,768.3467158182672,0.0,10000.0,790,158337.29820051414,155157.0,13.311392405063291,7.0,169,523.1645569620254,149,47,790
2023-07-10,943.8388625592418,800.0,446.3982341305692,0.0,2100.0,211,157834.9066985646,145554.0,15.635071090047393,8.0,144,524.1706161137441,40,24,211
2023-07-11,309.84251968503935,0.0,510.5372074051614,0.0,2100.0,635,156706.09170653907,149366.0,14.070866141732283,8.0,144,538.5826771653543,120,34,635
2023-07-12,575.8390578999018,450.0,899.7795176369788,0.0,18000.0,1019,154090.45766129033,150264.5,15.53189401373896,7.0,169,541.1187438665359,167,52,1019
2023-07-13,407.86542923433876,300.0,1016.4519502836961,0.0,18000.0,862,154358.5477897252,151791.0,15.503480278422273,9.0,169,540.1392111368909,138,50,862
2023-07-14,438.8109048723898,300.0,1040.8344426582955,0.0,18000.0,862,154358.5477897252,151791.0,15.503480278422273,9.0,169,540.1392111368909,138,50,862
2023-07-15,470.4471544715447,350.0,1053.9988266428804,0.0,18000.0,861,154467.10586124402,152106.0,15.516840882694542,9.0,169,540.7665505226481,138,50,861
2023-07-16,469.7488317757009,400.0,882.3044328797947,0.0,18000.0,856,154279.85018050543,151791.0,15.478971962616823,8.5,169,542.873831775701,138,50,856
2023-07-17,0.0,0.0,0.0,0.0,0.0,346,151985.43880597016,144677.0,24.927745664739884,17.0,169,498.26589595375725,57,43,346
2023-07-18,593.7772925764192,600.0,601.811207345217,0.0,2300.0,458,149410.29054054053,144526.0,24.40829694323144,17.0,169,520.0873362445415,69,46,458
