Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Aqua,No,$0,"175,661",," Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007260001/2013-toyota-aqua-hatch?referringPage=SearchResults
Nissan,Navara,No,$0,"201,701",," Interior Damage, Water Damage, Selling De-Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260002/2012-nissan-navara-d-c-2-5d-4wd-st-x-m-dual-cab-utility?referringPage=SearchResults
Toyota,RAV4,No,$0,N/A,," Salt Water Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260021/2010-toyota-rav4-2-4p-4wd-wagon5-5a-station-wagon?referringPage=SearchResults
Nissan,Leaf,No,$0,"75,231",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007250056/2017-nissan-leaf-hatch?referringPage=SearchResults
Honda,Grace,Yes,$0,N/A,, Selling Registered,"Automatic,",5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007260089/2014-honda-grace-sedan?referringPage=SearchResults
Honda,fit,No,$0,"115,151",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007260093/2014-honda-fit-hatch?referringPage=SearchResults
Mazda,BT-50,No,N/A,N/A,," Left Rear Damage, Left Side Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260141/2016-mazda-bt-50-glx-d-c-w-s-3-2d-4w-dual-cab-utility?referringPage=SearchResults
Toyota,Corolla,Yes,"$1,500","124,332",, Selling Registered,"Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260148/2009-toyota-corolla-1-8p-glx-hatch-5-6m-hatch?referringPage=SearchResults
GMC,Yukon,No,$0,N/A,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered",N/A,8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250225/2001-gmc-yukon-delani-xl-k1500-station-wagon?referringPage=SearchResults
MINI,Cooper,No,N/A,"99,763",," Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260234/2016-mini-cooper-crossover-station-wagon?referringPage=SearchResults
Toyota,Wish,No,$0,"85,842",," Front Damage, Left Front Damage, Left Rear Damage, Right Front Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260283/2007-toyota-wish-station-wagon?referringPage=SearchResults
Toyota,Aqua,No,$0,"162,108",," Interior Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007260314/2015-toyota-aqua-hatch?referringPage=SearchResults
Mazda,CX-5,No,$0,N/A,," Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007250399/2012-mazda-cx-5-station-wagon?referringPage=SearchResults
BMW,525,Yes,$600,"212,933",," Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260468/2000-bmw-525-i-sedan?referringPage=SearchResults
LDV,Edeliver 3,No,N/A,"12,568",," Front Damage, Structural Damage, Selling De-Registered","Automatic, Fuel Type, Electri",2,Electric,https://manheim.co.nz/damaged-vehicles/000000000007250490/2025-ldv-edeliver-3-50-23kw-h-50kwh-ev-van?referringPage=SearchResults
Toyota,Hilux,No,N/A,"58,535",," Front Damage, Left Front Damage, Left Rear Damage, Left Side Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",4,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007250530/2022-toyota-hilux-sr-td-ec-2-8dt-dual-cab-chassis?referringPage=SearchResults
Nissan,Skyline,No,N/A,"234,168",," Left Front Damage, Left Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260625/1995-nissan-skyline-gt-coup%C3%A9?referringPage=SearchResults
Nissan,Terrano,No,$0,"152,015",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260627/1996-nissan-terrano-r3mr-station-wagon?referringPage=SearchResults
Toyota,Wish,No,$0,"200,009",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260628/2010-toyota-wish-station-wagon?referringPage=SearchResults
Audi,Q7,No,N/A,N/A,," Interior Damage, Structural Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260629/2010-audi-q7-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,N/A,"304,556",," Interior Damage, Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",4,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260633/2004-toyota-hilux-3-0d-4wd-e-c-c-c-5m-cab-chassis?referringPage=SearchResults
Ssangyong,Musso,No,N/A,N/A,," Front Damage, Left Front Damage, Left Rear Damage, Left Side Damage, Right Front Damage, Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","6spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260636/2025-ssangyong-musso-2-2dt-4wd-6at-utility?referringPage=SearchResults
Nissan,Vanette,No,$0,"208,360",," Left Front Damage, Right Front Damage, Vandalised - Interior, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260639/2010-nissan-vanette-van?referringPage=SearchResults
Honda,fit,No,$0,"88,606",," Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260640/2012-honda-fit-hatch?referringPage=SearchResults
Holden,Commodore,Yes,"$4,100",N/A,," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260656/2015-holden-commodore-vf-sv6-3-6p-6at-sl--sedan?referringPage=SearchResults
Nissan,Serena,No,$0,"129,330",," Structural Damage, Water Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260663/2011-nissan-serena-mini-bus?referringPage=SearchResults
Toyota,Corolla,No,$0,"179,912",," Rolled, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260664/2013-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
