Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mitsubishi,Galant,2008,No,$1,"1,234",," Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430076/2008-mitsubishi-galant-fortis-sedan?referringPage=SearchResults
Mazda,CX-5,2012,No,$275,"144,668",," Rolled, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007430077/2012-mazda-cx-5-hatch?referringPage=SearchResults
Holden,Commodore,2010,No,$500,"223,412",," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430078/2010-holden-commodore-sv6-sedan-at-sedan?referringPage=SearchResults
Nissan,350z,2003,No,"$4,050",N/A,," Right Front Damage, Structural Damage, Selling De-Registered",N/A,2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430081/2003-nissan-350z-6-spd-manual-coupe-coup%C3%A9?referringPage=SearchResults
Toyota,Aqua,2013,No,$700,"195,351",," Interior Damage, Water Damage, Selling De-Registered","5spd Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430091/2013-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Toyota,Corolla,2004,No,"$1,850","226,441",," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430092/2004-toyota-corolla-1-8p-ts-hatch5-4a-hatch?referringPage=SearchResults
Toyota,Passo,2007,No,"$1,025",N/A,," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430093/2007-toyota-passo-hatch?referringPage=SearchResults
Toyota,Camry,2013,No,"$1,550",N/A,," Hard Hit, Left Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430107/2013-toyota-camry-gl-2-5p-sdn-6a-sedan?referringPage=SearchResults
BMW,Mini,2014,No,$500,"101,390",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430115/2014-bmw-mini-cooper-hatch?referringPage=SearchResults
Toyota,Aqua,2015,No,$950,N/A,," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430116/2015-toyota-aqua-hatch?referringPage=SearchResults
Mercedes-Benz,Cla-class,2015,No,"$1,550",N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430141/2015-mercedes-benz-cla-class-cla-200-1-6p-7at-sp-sedan?referringPage=SearchResults
Volkswagen,Polo,2012,No,$500,"135,691",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430148/2012-volkswagen-polo-77kw-tsi-7dsg-hatch?referringPage=SearchResults
Toyota,RAV4,1996,No,$650,"246,128",," Front Damage, Left Front Damage, Left Side Damage, Suspension Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430150/1996-toyota-rav4-l-v-station-wagon?referringPage=SearchResults
Toyota,Markx,2007,No,"$1,500",N/A,," Rear Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430156/2007-toyota-markx-250g-sedan?referringPage=SearchResults
Holden,Commodore Exec,1993,No,$325,"207,275",," Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430159/1993-holden-commodore-exec-sedan?referringPage=SearchResults
Honda,Accord,2006,Yes,"$1,025",N/A,," Left Side Damage, Rear Damage, Right Side Damage, Suspension Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420175/2006-honda-accord-type-s-sedan?referringPage=SearchResults
Holden,Trax,2019,No,"$1,650",N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420182/2019-holden-trax-ltz-1-4p-6at-station-wagon?referringPage=SearchResults
Suzuki,Swift,2011,No,$500,"82,386",," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430202/2011-suzuki-swift-ltda-1-4-5dr-hatch?referringPage=SearchResults
Toyota,Vanguard,2009,No,"$2,800",N/A,," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430204/2009-toyota-vanguard-station-wagon?referringPage=SearchResults
Toyota,RAV4,2004,No,"$1,450","196,473",," Left Rear Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430206/2004-toyota-rav4-station-wagon?referringPage=SearchResults
Mazda,Demio,2005,Yes,"$1,425","113,983",," Front Damage, Left Front Damage, Left Rear Damage, Right Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430207/2005-mazda-demio-hatch?referringPage=SearchResults
Audi,S6,2013,No,"$2,200","156,891",," Front Damage, Glass Broken, Left Side Damage, Rear Damage, Roof Damage, Rolled, Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430208/2013-audi-s6-station-wagon?referringPage=SearchResults
Suzuki,Swift,2006,No,$500,"157,731",," Front Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430209/2006-suzuki-swift-hatch?referringPage=SearchResults
Mazda,Demio,2009,No,$275,"125,891",," Chassis Damage, Front Damage, Structural Damage, Selling De-Registered","4spd,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430210/2009-mazda-demio-hatch?referringPage=SearchResults
